# time(us)	raw_signal(mV)	one_component(mV)	two_component(mV)	sum_components(mV)
-1.996081808815245440e+00 -1.503530966600759022e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.994081808871809303e+00 -1.827530978060916134e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.992081808928373166e+00 -2.115530988247722455e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.990081808984937028e+00 -2.223530992067774825e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.988081809041500891e+00 -2.475531000981230356e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.986081809098064754e+00 -2.403530998434528776e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.984081809154628617e+00 -2.331530995887827196e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.982081809211192480e+00 -2.259530993341125615e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.980081809267756343e+00 -2.151530989521073245e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.978081809324320206e+00 -2.007530984427670084e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.976081809380884069e+00 -1.719530974240863763e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.974081809437447932e+00 -1.395530962780706652e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.972081809494011795e+00 -1.215530956413952701e+00 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
-1.970081809550575658e+00 -7.475309398603923183e-01 -7.606376706098657604e-03 -9.739362123476737187e-03 -1.734573882957539392e-02
